SerialNo,Sex,Age,StateOfOrigin,TotalScore,Dept
87,1,26,30,228,27
88,1,17,22,227,27
89,2,21,14,226,27
90,1,23,12,225,27
91,1,23,37,222,27
92,1,22,30,219,27
93,2,21,6,219,27
94,1,16,29,218,27
95,1,18,14,218,27
96,1,24,30,217,27
97,2,20,18,216,27
98,2,17,16,215,4
99,1,26,34,214,27
100,1,20,23,211,27
101,1,19,22,211,7
102,1,17,10,210,27
103,1,19,1,209,27
104,1,20,29,209,27
105,2,22,37,208,27
106,1,19,16,206,27
107,1,16,22,204,27
108,1,21,37,204,27
109,1,22,18,203,14
110,2,20,16,203,27
111,2,18,4,202,27
112,1,26,28,202,27
113,1,20,11,202,27
114,1,19,1,202,27
115,1,24,29,201,4
116,2,23,22,200,27
117,2,16,18,200,27
118,1,20,30,200,27
119,2,20,13,199,27
120,1,20,12,199,27
121,2,17,4,198,27
122,1,21,13,198,27
123,1,19,23,197,27
124,1,22,37,197,27
125,1,21,37,196,7
126,1,20,22,196,27
127,2,26,23,195,27
128,1,20,30,195,27
129,2,20,22,195,27
130,2,19,29,195,27
131,1,18,18,194,27
132,2,18,9,194,27
133,2,18,4,194,27
134,1,39,12,194,27
135,2,19,15,194,27
136,2,22,7,194,27
137,1,20,27,193,27
138,1,15,30,193,27
139,1,21,37,193,4
140,1,16,6,192,27
141,1,18,37,192,27
142,1,18,37,192,27
143,2,17,13,191,27
144,2,17,22,191,27
145,1,23,10,190,27
146,1,21,7,190,27
147,1,17,30,189,27
148,2,20,30,189,4
149,1,18,13,189,27
150,2,24,1,189,27
151,2,23,30,188,27
152,1,17,22,188,27
153,1,20,29,188,27
154,2,17,2,187,27
155,1,22,17,186,27
156,2,21,7,185,27
157,1,26,25,185,27
158,1,17,23,184,24
159,2,20,16,184,27
160,1,22,21,183,27
161,1,20,14,183,27
162,1,18,1,182,27
163,1,30,11,182,27
164,1,22,16,180,27
165,1,18,7,248,21
166,2,17,3,229,25
167,2,20,16,229,7
168,2,21,1,225,25
169,2,20,32,224,25
170,1,21,24,224,25
171,2,17,11,223,25
172,2,19,30,221,25
173,2,20,16,220,23
174,2,18,9,220,25
175,2,18,7,220,25
176,2,18,14,218,25
177,2,17,16,218,25
178,1,18,7,218,25
179,1,20,10,218,25
180,1,20,11,218,25
181,1,21,4,218,25
182,2,19,14,216,25
183,2,17,16,216,25
184,1,21,23,216,15
185,2,31,16,216,25
186,1,16,1,216,25
187,1,19,22,215,7
188,1,18,16,215,25
189,1,21,14,215,25
190,2,16,23,214,25
191,2,20,16,214,25
192,1,21,12,214,25
193,2,18,12,214,21
194,2,17,16,213,25
195,1,19,7,213,25
196,1,17,30,212,25
197,1,19,7,212,25
198,2,20,12,211,25
199,2,17,8,210,25
200,1,37,4,210,25
201,2,22,16,210,25
202,1,22,30,210,25
203,2,20,27,209,25
204,1,23,14,209,25
205,2,19,28,208,25
206,2,21,7,208,25
207,1,20,10,208,15
208,1,21,30,208,25
209,2,24,16,207,25
210,2,27,16,207,25
211,1,25,4,206,25
212,2,19,31,206,25
213,2,17,14,206,25
214,2,23,7,206,25
215,1,20,27,204,25
216,1,28,7,204,25
217,1,20,37,204,25
218,1,16,1,204,25
219,1,19,1,204,7
220,2,20,14,204,25
221,2,16,13,202,25
222,2,19,4,202,25
223,2,15,12,202,25
224,1,23,22,202,25
225,2,20,12,202,25
226,1,20,7,202,25
227,2,18,22,202,25
228,2,21,2,200,7
229,1,18,23,200,15
230,1,24,7,199,15
231,2,18,2,198,25
232,2,24,22,198,25
233,2,18,11,198,25
234,2,18,10,198,25
235,2,21,32,196,25
236,1,22,3,196,25
237,2,17,9,195,25
238,2,17,23,194,25
239,1,23,18,194,25
240,1,17,9,192,25
241,2,21,11,192,25
242,1,19,2,192,25
243,2,23,31,191,25
244,2,16,28,190,25
245,2,20,11,190,25
246,2,17,9,190,25
247,1,26,31,190,25
248,2,18,29,188,25
249,2,17,18,188,25
250,2,16,37,188,25
251,1,23,37,186,25
252,2,16,37,184,25
253,2,19,5,184,25
254,1,19,25,184,25
255,1,16,23,184,25
256,2,18,18,184,25
257,1,17,25,184,7
258,1,24,24,182,25
259,2,22,8,182,25
260,2,18,6,180,25
261,1,25,10,211,25
262,1,22,30,196,19
263,1,17,12,196,19
264,1,37,22,187,19
265,2,20,7,184,19
266,1,24,28,182,19
267,1,20,31,182,19
268,2,16,13,267,15
269,2,19,22,220,15
270,2,18,3,220,15
271,1,18,1,220,15
272,2,22,22,219,15
